künstl_Saison;VA_Projekt;VATyp;Datum_von;Datum_bis;VA_Raum;Aktivitätsstatus;VA_Titel;Anzeige_Besetzung;Anzeige_Programm;Abo's
2013/14 K;Die Rote Färse 13/14 (2013/14 K);KHB;28.06.2014 17:00;28.06.2014 18:00;Werner-Otto-Saal;Konzert;Iván Fischer: Die Rote Färse;;;
2013/14 K;Konzerthausorchester C6  (2013/14 K);KHB;28.06.2014 20:00;28.06.2014 22:30;Großer Saal;Konzert;Konzerthausorchester Berlin, Nikolaj Znaider;"Konzerthausorchester Berlin
Nikolaj Znaider
Elisabeth Leonskaja Klavier";"Ludwig van Beethoven Konzert für Klavier und Orchester Nr. 5 Es-Dur op. 73
Hector Berlioz „Symphonie fantastique“ op. 14";Abo C
2013/14 K;Die Rote Färse 13/14 (2013/14 K);KHB;28.06.2014 20:00;28.06.2014 21:00;Werner-Otto-Saal;Konzert;Iván Fischer: Die Rote Färse;;;
2013/14 K;Konzerthausorchester C6  (2013/14 K);KHB;29.06.2014 16:00;29.06.2014 18:30;Großer Saal;Konzert;Konzerthausorchester Berlin, Nikolaj Znaider;"Konzerthausorchester Berlin
Nikolaj Znaider
Elisabeth Leonskaja Klavier";"Ludwig van Beethoven Konzert für Klavier und Orchester Nr. 5 Es-Dur op. 73
Hector Berlioz „Symphonie fantastique“ op. 14";Abo C
2013/14 K;Die Rote Färse 13/14 (2013/14 K);KHB;29.06.2014 17:00;29.06.2014 18:00;Werner-Otto-Saal;Konzert;Iván Fischer: Die Rote Färse;;;
2013/14 K;Die Rote Färse 13/14 (2013/14 K);KHB;29.06.2014 20:00;29.06.2014 21:00;Werner-Otto-Saal;Konzert;Iván Fischer: Die Rote Färse;;;
2013/14 K;Kooperationsprojekt Klinikum Buch 13/14 (2013/14 K);KHB;03.07.2014 15:00;03.07.2014 16:00;Klinikum Buch;Konzert;Konzert;;;
2014/15 K;Kiez-Konzerte-Festival 14/15 (2014/15 K);KHB;01.09.2014 19:30;01.09.2014 21:30;ME COLLECTORS ROOM / STIFTUNG OLBRICHT;Konzert;Kiez-Konzert-Festival: Das Konzerthaus zu Gast im me Collectors Room / Stiftung Olbricht;"Johannes Jahnel Violine
Alicia Marial Violine
Cornelia Dill Violine
Stefan Markowski Violine
Ulrike Petersen Viola
Pei-Yi Wu Viola
Hans-Georg Dill Violoncello
Viola Bayer Violoncello
Stephan Petzold Kontrabass";"Felix Mendelssohn Bartholdy Oktett für vier Violinen, zwei Violen und zwei Violoncelli Es-Dur op. 20
Max Bruch Oktett für vier Violinen, zwei Violen, Violoncello und Kontrabass B-Dur op. post.";
2014/15 K;Kiez-Konzerte-Festival 14/15 (2014/15 K);KHB;02.09.2014 20:00;02.09.2014 22:00;Badehaus Szimpla;Konzert;Kiez-Konzert-Festival: Das Konzerthaus zu Gast im Badehaus Szimpla;"Anna Babenko Violine
David Bestehorn Violine
Ernst-Martin Schmidt Viola
Alexander Kahl Violoncello
Valentin Butt Akkordeon
Taneli Turunen Gesang";;
2014/15 K;Kiez-Konzerte-Festival 14/15 (2014/15 K);KHB;03.09.2014 19:00;03.09.2014 21:00;Uferstudios;Konzert;Kiez-Konzert-Festival: Das Konzerthaus zu Gast in den Uferstudios;"Maren Voermans
Marcus Voermans";;
2014/15 K;Kiez-Konzerte-Festival 14/15 (2014/15 K);KHB;04.09.2014 15:00;04.09.2014 16:30;Klinikum Buch;Konzert;Kiez-Konzert-Festival: Das Konzerthaus zu Gast im Helios Klinikum Berlin-Buch;Marcus Voermans Schlagwerk;;
2014/15 K;Kiez-Konzerte-Festival 14/15 (2014/15 K);KHB;04.09.2014 20:00;04.09.2014 22:00;Ballsaal-Studio Wedding;Konzert;Kiez-Konzert-Festival: Das Konzerthaus zu Gast im Ballsaal-Studio Wedding;"Ronith Mues Harfe
Ralf Forster Klarinette
Michael von Schönermark Fagott";;
2014/15 K;Kiez-Konzerte-Festival 14/15 (2014/15 K);KHB;05.09.2014 17:00;05.09.2014 19:00;Liebig-Schule in Gropiusstadt;Konzert;Kiez-Konzert-Festival: Das Konzerthaus zu Gast in der Liebig-Schule in Gropiusstadt;"Silvia Careddu Flöte
Michaela Kuntz Oboe
Darío Mariño Varela Klarinette
Rainer Luft Fagott
Cenk Sahin Horn
Gerdur Gunnarsdottir Violine
Alicia Marial Violine
Felix Korinth Viola
Alexander Kahl Violoncello
Igor Prokopets Kontrabass
Gabriele Nellessen Konzept und Moderation";;
2014/15 K;Kiez-Konzerte-Festival 14/15 (2014/15 K);KHB;05.09.2014 19:00;05.09.2014 21:00;KULTURSTIFTUNG SCHLOSS BRITZ;Konzert;Kiez-Konzert-Festival: Das Konzerthaus zu Gast im Schloss Britz;;;
2014/15 K;Kiez-Konzerte-Festival 14/15 (2014/15 K);KHB;06.09.2014 18:00;06.09.2014 20:00;Schloss Friedrichsfelde;Konzert;Kiez-Konzert-Festival: Das Konzerthaus zu Gast im Schloss Friedrichsfelde;"Michael Erxleben Violine
Constanze Fiebig Viola
Ernst-Martin Schmidt Viola";"Jean-Marie Leclair Sonate für zwei Violen op. 12 Nr. 6 Es-Dur
Alessandro Rolla Duo für zwei Violen Es-Dur
Alessandro Rolla Duo für zwei Violen F-Dur
Frank Bridge „Lamento“ für zwei Violen
Johann Sebastian Bach Sonate für Violine solo a-Moll BWV 1003";
2014/15 K;Kiez-Konzerte-Festival 14/15 (2014/15 K);KHB;06.09.2014 19:00;06.09.2014 21:00;Museum Berggruen – Nationalgalerie, Staatliche Museen zu Berlin;Konzert;Kiez-Konzert-Festival: Das Konzerthaus zu Gast im Museum Berggruen;;;
2014/15 K;Kiez-Konzerte-Festival 14/15 (2014/15 K);KHB;07.09.2014 11:00;07.09.2014 13:00;Schloss Schönhausen;Konzert;Kiez-Konzert-Festival: Das Konzerthaus zu Gast im Schloss Schönhausen;"Michael Erxleben Violine
Constanze Fiebig Viola
Ernst-Martin Schmidt Viola";"Jean-Marie Leclair Sonate für zwei Violen op. 12 Nr. 6 Es-Dur
Alessandro Rolla Duo für zwei Violen Es-Dur
Alessandro Rolla Duo für zwei Violen F-Dur
Frank Bridge „Lamento“ für zwei Violen
Johann Sebastian Bach Sonate für Violine solo a-Moll BWV 1003";
2014/15 K;Kiez-Konzerte-Festival 14/15 (2014/15 K);KHB;07.09.2014 12:00;07.09.2014 18:00;Naturschutzzentrum Ökowerk Berlin;Konzert;Kiez-Konzert-Festival: Das Konzerthaus zu Gast im Naturschutzzentrum Ökowerk Berlin;;;
2014/15 K;Kiez-Konzerte-Festival 14/15 (2014/15 K);KHB;07.09.2014 17:00;07.09.2014 19:00;Hörsaalruine der Charité;Konzert;Kiez-Konzert-Festival: Das Konzerthaus zu Gast in der Hörsaalruine der Charité;"Avigail Bushakevitz Violine
David Bestehorn Violine
Katja Plagens Viola
Viola Bayer Violoncello
Nhassim Gazale Kontrabass";;
